b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y,b_x,b_y
totalRevenue,2992619000.0,3583326000.0,4768253000.0,3497068000.0,4849249000.0,5423876000.0,7032934000.0,6291116000.0,4944844000.0,5366685000.0,7963505000.0,4963255000.0,6354612000.0,4378165000.0,3791261000.0,4681558000.0,5508238000.0,3880364000.0,2993551000.0,2707285000.0,3125245000.0,4135569000.0,5709976000.0,3043558000.0,3781961000.0,3742739000.0,4273855000.0,3554996000.0,3381566000.0,3668355000.0,4422092000.0,2866624000.0,3563298000.0,3611885000.0,3937646000.0,3686262000.0,5235725000.0,3459160000.0,3161869000.0,3050413000.0,4090266000.0,3083587000.0,,2675504000.0
costOfRevenue,2018803000.0,2318905000.0,3498483000.0,2782928000.0,3945500000.0,4364062000.0,5834191000.0,5124868000.0,4045038000.0,4365049000.0,6401722000.0,4103624000.0,5410409000.0,3704581000.0,2986426000.0,3792217000.0,4073745000.0,3010952000.0,2309316000.0,2058803000.0,2195650000.0,3158956000.0,4680152000.0,2260319000.0,2933449000.0,2678818000.0,3090322000.0,2507080000.0,1954779000.0,2581703000.0,3207409000.0,1832851000.0,2475198000.0,2548775000.0,2735873000.0,2467727000.0,3656663000.0,2499587000.0,2463066000.0,2223818000.0,3233545000.0,2358942000.0,,2052703000.0
grossProfit,973816000.0,1264421000.0,1269770000.0,714140000.0,903749000.0,1059814000.0,1198743000.0,1166248000.0,899806000.0,1001636000.0,1561783000.0,859631000.0,944203000.0,673584000.0,804835000.0,889341000.0,1434493000.0,869412000.0,684235000.0,648482000.0,929595000.0,976613000.0,1029824000.0,783239000.0,848512000.0,1063921000.0,1183533000.0,1047916000.0,1426787000.0,1086652000.0,1214683000.0,1033773000.0,1088100000.0,1063110000.0,1201773000.0,1218535000.0,1579062000.0,959573000.0,698803000.0,826595000.0,856721000.0,724645000.0,,622801000.0
OtherIncome,211421000.0,104762000.0,73525000.0,89142000.0,189053000.0,70412000.0,117081000.0,65242000.0,493898000.0,109099000.0,84521000.0,47894000.0,505132000.0,57697000.0,49992000.0,57434000.0,306366000.0,501078000.0,51084000.0,45153000.0,39606000.0,39649000.0,64709000.0,127044000.0,255409000.0,68743000.0,214981000.0,91998000.0,80751000.0,126935000.0,51498000.0,73263000.0,128785000.0,44015000.0,54458000.0,65566000.0,92830000.0,228817000.0,346356000.0,280725000.0,356830000.0,203014000.0,,125077000.0
Administrative,,,,,,,,,,,,,,,,,-178061000.0,-115371000.0,-113910000.0,-69047000.0,-424711000.0,-71741000.0,-91327000.0,-68771000.0,-153002000.0,-88702000.0,-103442000.0,-89629000.0,-110902000.0,-76692000.0,-81835000.0,-83013000.0,-114930000.0,-69933000.0,-97944000.0,-104009000.0,-140910000.0,-101661000.0,-82553000.0,-69418000.0,-77909000.0,-107475000.0,,-44772000.0
Finance,-8012000.0,-9534000.0,-43299000.0,-14419000.0,-52421000.0,-37849000.0,-55267000.0,-41557000.0,-35409000.0,-50882000.0,,-15424000.0,-39150000.0,-19851000.0,-13712000.0,-40489000.0,-146713000.0,-100184000.0,-126151000.0,-69820000.0,-175956000.0,-221700000.0,-66088000.0,-50415000.0,49349000.0,-95045000.0,-89431000.0,-110105000.0,19637000.0,-73280000.0,-95995000.0,-91012000.0,-83134000.0,-115502000.0,-110397000.0,-120992000.0,-63882000.0,-26991000.0,-22067000.0,-11728000.0,-10785000.0,-8563000.0,,-2944000.0
incomeBeforeTax,779468000.0,814631000.0,1109679000.0,586241000.0,973878000.0,872995000.0,1274156000.0,1065460000.0,1452504000.0,922074000.0,,813762000.0,759851000.0,957947000.0,902236000.0,867328000.0,1008515000.0,549320000.0,586739000.0,628193000.0,-52856000.0,968463000.0,1349633000.0,919610000.0,761508000.0,1026046000.0,1160253000.0,1004834000.0,1355460000.0,1168174000.0,1107907000.0,988039000.0,999579000.0,1100928000.0,1070297000.0,1262951000.0,1422573000.0,1256259000.0,1168655000.0,1150994000.0,1081238000.0,892502000.0,,741073000.0
incomeTaxExpense,18797000.0,-201624000.0,-317027000.0,-172112000.0,-214302000.0,-153115000.0,-298275000.0,-224484000.0,,-133656000.0,,-182430000.0,,-38621000.0,-148097000.0,-174749000.0,-371165000.0,-235936000.0,-151125000.0,-168582000.0,61346000.0,-277720000.0,,-203988000.0,-130832000.0,-214254000.0,,-212011000.0,-622220000.0,-341772000.0,-299483000.0,-278718000.0,-159401000.0,-239431000.0,-207357000.0,-239709000.0,-350012000.0,-234238000.0,-208167000.0,-195672000.0,-251041000.0,-157319000.0,,-154658000.0
netIncomeFromContinuingOps,798265000.0,613007000.0,792652000.0,414129000.0,759576000.0,719880000.0,975881000.0,840976000.0,1068247000.0,788418000.0,,631332000.0,725878000.0,919326000.0,754139000.0,692579000.0,637350000.0,313384000.0,435614000.0,459611000.0,8490000.0,690743000.0,1039386000.0,715622000.0,630676000.0,811792000.0,1245538000.0,792823000.0,733240000.0,826402000.0,808424000.0,709321000.0,840178000.0,861497000.0,862940000.0,1023242000.0,1072561000.0,1022021000.0,960488000.0,955322000.0,830197000.0,735183000.0,,586415000.0
netIncome,753462000.0,585190000.0,773920000.0,403832000.0,642323000.0,702260000.0,936432000.0,824054000.0,1245400000.0,778629000.0,,595099000.0,677916000.0,865996000.0,719916000.0,667670000.0,607837000.0,281219000.0,415400000.0,447977000.0,41453000.0,680665000.0,1030603000.0,706878000.0,636564000.0,811191000.0,1235981000.0,799185000.0,746300000.0,820741000.0,811664000.0,717173000.0,807653000.0,877245000.0,878181000.0,1017693000.0,1036963000.0,1020855000.0,963922000.0,954860000.0,838093000.0,730371000.0,,586415000.0
