,b_x,b_y,b_x.1,b_y.1,b_x.2,b_y.2,b_x.3,b_y.3,b_x.4,b_y.4
cash,122382000,67084000,68153000,18482000,14719000,18770000,19634000,50285000,35495000,52998000
commonStock,103486000,102892000,101943000,100031000,99659000,99627000,99538000,99538000,90552000,90552000
costOfRevenue,547702000,524058000,431226000,395661000,372053000,406768000,377801000,329332000,301776000,406768000
date,30/12/2019,30/12/2018,30/12/2017,30/12/2016,30/12/2015,30/12/2014,30/12/2013,30/12/2012,30/12/2011,30/12/2010
dividendsPaid,9063000,10055000,4970000,3039000,4047000,5654000,1981000,2246000,5296000,2776000
effectOfExchangeRate,532000,338000,-1269000,169000,422000,1444000,-2172000,-551000,-301000,-5920000
grossProfit,111449000,101733000,83860000,70758000,67327000,65969000,66936000,31625000,33771000,65969000
incomeBeforeTax,53900000,40164000,40087000,20286000,14725000,15796000,0,0,0,15796000
incomeTaxExpense,11302000,9815000,6595000,4317000,5122000,4715000,4330000,5899000,1062000,4715000
interestExpense,2905000,2541000,1631000,1523000,1545000,1589000,2258000,1133000,426000,1379000
inventory,140679000,144619000,112154000,109274000,98924000,95669000,85948000,82024000,70830000,62028000
netIncome,42372000,30030000,33110000,15905000,9221000,11358000,17744000,-11810000,0,11358000
netIncomeApplicableToCommonShares,42372000,30030000,33110000,15905000,9221000,11358000,17744000,-11810000,0,11358000
netIncomeFromContinuingOps,42598000,30349000,33492000,15969000,9603000,11081000,18132000,0,0,11081000
propertyPlantEquipment,92052000,97353000,93904000,100022000,97713000,106410000,108796000,111477000,74729000,66562000
totalRevenue,659151000,625791000,515086000,466419000,439380000,472737000,444737000,360957000,335547000,472737000
sellingGeneralAdministrative,55391000,59331000,57769000,53626000,50121000,52504000,48186000,31630000,24781000,52504000
totalAssets,506196000,463740000,420155000,362995000,339475000,352262000,335095000,355779000,282489000,283640000
totalCashFromOperatingActivities,94873000,25062000,34869000,16476000,17898000,22925000,27989000,0,0,2268000
totalLiab,208045000,196221000,170613000,148323000,133871000,143807000,128030000,167773000,86127000,87350000
totalStockholderEquity,298151000,267519000,249542000,214672000,205604000,208455000,207065000,188006000,196362000,196290000
